ASIN,Title,Brand,Fulfillment,Category,Subcategory,Price,Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Sales Year Over Year (%),Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images
B08GG26D92,QUEWEL Eyelash Extension Supplies 0.05 D Curl 21mm Classic Individual Lash Extensions|Optinal 0.03/0.05/0.07/0.10/0.15/0.20 C/D Single 8-25mm Mix 8-14mm 15-20mm 20-25mm|(0.05 D 21mm),QUEWEL,FBA,Beauty & Personal Care,False Lashes,8.99,4993,7.0,44887.07,7203.0,4.3,Quewel lash,1,,3.620703125,12.593750000000002,01/01/2023,31,8.0
B09FZ4FDW6,"Bymitel 7200 Pieces 6 Mixed Sizes Glue Fix on  Glass Rhinestones Round Crystal Gems Flatback for DIY Jewelry Making with one Picking Pen (6-Sizes 7200PCS, Crystal AB)",Bymitel,FBA,"Arts, Crafts & Sewing",Rhinestones & Sequins,9.99,4948,161.0,49430.52,907.0,4.5,Bymitel,1,,5.0289571875,17.492024999999998,02/01/2023,18,6.0
B07ZSW1LKM,"WFEAGL Leather Bands Compatible with Apple Watch Band 42mm 44mm 45mm 49mm, Top Grain Leather Band Slim & Thin Replacement Wristband for iWatch Ultra SE & Series 8/7/6/5/4/3/2/1 (MintGreen/Silver)",WFEAGL,FBA,Cell Phones & Accessories,Smartwatch Bands,9.99,4441,-22.0,44365.59,29094.0,4.6,WFEAGL,1,,5.462499999999999,19.0,05/01/2021,38,6.0
B096VCLD87,"YAXIN Ocean Band Compatible with Apple Watch Ultra Band 49mm 45mm 44mm 42mm 41mm 40mm 38mm Men Women, Adjustable Loop Sport Fluoroelastomer for Apple Watch Ultra iWatch Series 8 7 SE 6 5 4 3 2 1",YAXIN,FBA,Cell Phones & Accessories,Smartwatch Bands,11.99,4044,26.0,0.0,877.0,4.2,Yaxin Tech,1,,1.6770833333333337,5.833333333333334,01/01/2023,21,6.0
B0B6PMR1T2,"Vgo... 3-Pairs Reusable Household Gloves, Rubber Dishwashing gloves, Extra Thickness, Long Sleeves, Kitchen Cleaning, Working, Painting, Gardening, Pet Care (Size L, Green, HH4601)",Vgo...,FBA,Health & Household,Gloves,24.98,3722,36.0,92975.56,17423.0,4.4,Vgo Glove,1,,30.3738,105.648,07/01/2021,8,6.0
B0B6PNF7GL,"Vgo... 1-Pair Reusable Household Gloves, Rubber Dishwashing gloves, Extra Thickness, Long Sleeves, Kitchen Cleaning, Working, Painting, Gardening, Pet Care (Size L, Green, HH4601)",Vgo...,FBA,Health & Household,Gloves,9.98,3722,36.0,37145.56,17429.0,4.4,Vgo Glove,1,,25.2715375,87.901,07/01/2021,8,6.0
B08CV91MJQ,"(2023 Upgraded) andobil Car Phone Mount [Military Sturdy, Firmly Grip & Never Slip] Air Vent Cell Phone Holder Car, Ultra Stable, Easy Used, Compatible with iPhone 13 14 12 Pro Max Android Samsung S23",andobil,FBA,Cell Phones & Accessories,Car Cradles,23.99,3709,,88978.91,5614.0,4.5,andobil,1,,20.07794646740864,69.83633553881263,02/01/2023,32,8.0
B0BW8XK4TM,"Kingroon PLA 3D Printer Filament, 10 Rolls, Dimensional Accuracy +/- 0.03 mm, 10kg Spool(22lbs), 1.75 mm，2Black+2White+2Grey+2Red+2Blue",POJECITY,FBA,Industrial & Scientific,3D Printing Filament,109.99,3609,4.0,396953.91,806.0,4.3,Kingrooon,1,,677.0250000000001,1692.5625000000002,12/01/2022,1,1.0
B00SSU6940,Ness Amiibo - Europe/Australia Import (Super Smash Bros Series),Nintendo,FBA,Sports & Outdoors,Arcade & Table Games,47.99,3449,10.0,165517.51,7892.0,4.8,RAPSEL,1,94.0,34.38882916698509,119.61331884168726,01/01/2023,95,3.0
B09XQXSKQJ,"KOKHUB Kitchen Mat,1/2 Inch Thick Cushioned Anti Fatigue Waterproof Kitchen Rugs,Comfort Standing Desk Mat, Kitchen Floor Mat Non-Skid & Washable for Home, Office, Sink,17.3""x39""- Blue Stirpe",KOKHUB,FBA,Kitchen & Dining,Comfort Mats,20.76,3396,72.0,70500.96,2237.0,4.5,KOKHUB,1,,170.12708999999998,591.7464,01/01/2023,9,6.0
